tweet_id,tweet_text,fear_intensity,anger_intensity,happiness_intensity,sadness_intensity,emotion
1.22211E+18,"French Health Minister Agnes Buzyn said on Tuesday there were currently between 500 and 1,000 French nationals in the Chinese city of Wuhan, the epicentre of the coronavirus outbreak - Reuters",0.519,0.419,0.286,0.43,no specific emotion
1.22211E+18,Did China downplay the coronavirus outbreak early on? No. President Xi is a great leader. President Ci and China Communist are never wrong. Long Live President Xi. https://t.co/a7Hezbyv4A via @voxdotcom,0.406,0.339,0.354,0.322,happiness
1.22212E+18,"@ayoma_k WHAT RUBBISH DOES THIS HATEFUL WOMAN POST ??? 
COME ON..BACK IT UP WITH SOME PROOF INSTEAD OF MISLEADING PEOPLE WITH YOUR BULLSHIT STORIES  !!! 

Status of Sri Lankans residing in Wuhan, China – Update January Ministry of Foreign Affairs Sri Lanka https://t.co/sqL4PyyOZb",0.468,0.744,0.112,0.586,anger
1.22214E+18,@thevivafrei @rfedortsov This is how they will create another virus like the corona.,0.474,0.426,0.24,0.355,fear
1.22215E+18,"Corona virus realtime map

https://t.co/s8tQzs4hbe",0.409,0.446,0.174,0.385,anger
1.22218E+18,I feel like people on twitter are too brave and a whole different specie like nothing affects us anymore....WW3 -memes ..corona virus- memes climate change -memes I don't know if I should rejoice or get therapy https://t.co/eATJgttMRD,0.481,0.441,0.262,0.462,no specific emotion
1.22218E+18,Tracking the Wuhan Coronavirus : https://t.co/gcqKe33l0M https://t.co/TwpT2Hzdpv,0.486,0.351,0.298,0.367,fear
1.2222E+18,"3 &lt; ρ &lt; 5 

""Preliminary estimation of the basic reproduction number of novel #coronavirus (2019-nCoV) in China, from 2019 to 2020: A data-driven analysis in the early phase of the outbreak"" https://t.co/Fv2Xw0g5rt",0.478,0.336,0.342,0.352,happiness
1.22221E+18,corona virus more like coreanas virus am ir right fellas?,0.419,0.489,0.238,0.422,anger
1.22221E+18,@Kinkgobernable I mean. I wouldn't doubt Corona has killed someone.,0.573,0.516,0.234,0.438,fear
1.22221E+18,"I'm so embarrased please CHECK EVERYTHING YOU READ ONLINE and I'm so sad to say this but specially if it was originally tweeted in Spanish. 

The guy made a joke about the corona virus (ugh 😒) but he never mentioned the boys this is SO embarrassing https://t.co/8F0cu694rD",0.526,0.548,0.226,0.645,sadness
1.22223E+18,"The Independent: Coronavirus: Japan and Germany confirm patients who caught disease did not visit China.
https://t.co/nfv3KDj578",0.601,0.43,0.22,0.463,fear
1.22233E+18,"#Australia Australian lab first outside of #China to re-create #coronavirus, helping vaccine push       https://t.co/7NfI8AUaAO a través de @abcnews",0.42,0.339,0.42,0.274,happiness
1.22234E+18,"Sri Lanka HM has to plan isolating / screening the 30 passengers arriving from Wuhan. 
California plans to isolate them  in a separate hanger at the airport &amp; screen passengers before isolation. 
On board they are being screened / at anchorage during a fuel stop &amp; at arrival. https://t.co/M2H7zqDIRz",0.487,0.479,0.262,0.45,fear
1.2224E+18,This is how the #Wuhan coronavirus affects the body https://t.co/4oAveWhEe0 https://t.co/p0dsBABeic #coronoavirus,0.508,0.436,0.223,0.392,fear
1.22245E+18,Coronavirus ‘rumour’ crackdown by Wuhan police slammed by China’s top court https://t.co/IBHNABsma5 https://t.co/4Ek0J3ODTv,0.483,0.471,0.315,0.393,fear
1.22249E+18,"A robot named Little Peanut is delivering food to people in quarantine amid the Wuhan coronavirus outbreak
https://t.co/Rms2EjeYJH",0.596,0.424,0.298,0.439,fear
1.22252E+18,"Wuhan coronavirus has now reached 6,000 cases worldwide https://t.co/3X4bVEJvEa",0.456,0.264,0.439,0.331,happiness
1.22252E+18,@Rhett800cc bitcoin is the way more profitable of earn Money.. always Rise up!! Problems like the corona virus and the war of irán can be make ur lose money. buy bitcoin is the most logic!! The Airlines coming soon Cancel flys to Asia .(many loses) the World economy are in recesión soon,0.477,0.507,0.31,0.438,anger
1.22253E+18,How Do Bats Live With So Many Viruses? https://t.co/eNJTvyFLFN,0.511,0.414,0.234,0.418,fear
1.22253E+18,Coronavirus live updates: Cases spread as nations pull out citizens from Wuhan - The Washington Post https://t.co/7Xt5KoNYiK,0.577,0.35,0.338,0.426,no specific emotion
1.22253E+18,Coronavirus: Australia plans island quarantine as foreigners leave Wuhan - BBC News https://t.co/qfUPyozB4M,0.664,0.463,0.248,0.47,fear
1.22256E+18,people using the corona virus as an excuse to be racist 🤡,0.524,0.632,0.136,0.467,anger
1.22256E+18,@CNN This POS can be used as test subject for studying the effects of Corona Virus.,0.547,0.461,0.164,0.44,fear
1.22257E+18,@vann1_ Corona virus for sure,0.436,0.411,0.211,0.41,fear
1.22258E+18,Bruhhh work is slow...this Corona virus has everyone scared to fly I guess,0.681,0.486,0.186,0.608,fear
1.22259E+18,"#China #Wuhan #coronavirus #Epidemic 

Viral outbreak has infected more than 6,000 people on Chinese mainland and more than a dozen other countries. British Airways suspends all flights to China as result of crisis.

https://t.co/bWuYoeoAIs",0.646,0.456,0.264,0.444,fear
1.2226E+18,"#OMS #ChinaWuHan #ChinaCoronaVirus #News #International In the last 12 hours, it seems, the spread of Wuhan Coronavirus has slowed! Only 115 new confirmed cases are reported and the death toll is maintained at 132 since last night. Recovered 112 https://t.co/cMq6ksD583",0.54,0.405,0.368,0.396,no specific emotion
1.2226E+18,"@Corona_nCoV2019 Many people are still in the hospital, so mortality can change a lot.",0.46,0.352,0.22,0.476,sadness
1.22262E+18,"@Corona_nCoV2019 @inteldotwav Yup, 200 million people in brazil",0.396,0.362,0.321,0.391,no specific emotion
1.22267E+18,It's corona time,0.284,0.31,0.433,0.327,happiness
1.22268E+18,@ethelrosso *Cof* corona virus *cof*,0.417,0.474,0.285,0.411,anger
