id,text
1496672426041643010,"just so sad, worse than last year"
1496672420891090945,@jasonselvig The sad part is she'll win!
1496672419288961025,@sombodysdaughtr Me....and make my mother (rest with the most HIGH) &amp; father proud! Honoring one's parents is a moral standard that's so terribly undervalued based on today's backwards standards....very sad 😢
1496672418148098050,@PalomaC78726900 @Alisand3 ❤❤  sad to hear.
1496672414926721027,"@hamtaro_jin I do feel sad since my country aren't available for even the live playing but I do know our cinemas probably didn't have that kind of technologies yet and the border is still close. But this kind of tweet make me feel sad though, I'm happy for you guys meeting them but yeah..."
1496672414780080134,"@GoldOpsHoney ""oh....well I'm sad """
1496672408303902725,NOOO MY LOVE IM SO SAD NAURRRRR https://t.co/jiIXSlZZ2f
1496672405649235969,@Imaginary_Ones So sad
1496672405540020225,It comes with being famous sad to say and it won’t stop fr ask Michael and Britney what they went through hell ask Nicki https://t.co/0v1V8YMhDB
1496672404390563841,"When unhappy, one doubts everything; when happy, one doubt
https://t.co/sCqyK2ppVA…
ï»¿
https://t.co/rsrN5yjowF"
1496672403451121666,@_bonitaevita so sad =[
1496672397554077697,"@ABashfulDragon it is sad but necessary to do this

so many problems come from the shame of patriarchal ideology"
1496672391438614533,"@codingyuri Oh that's so sad! Well I'm gonna show, and see you very soon for our coffee chat! 😊☕️"
1496672390805434371,@jagpreetmaan20 So sad 😞
1496672389995765761,@Pedestrian_509 @gsojudy @MailOnline @FAkrav5 Every time I see one of my parents in my dreams they’re still disappointed.
1496672389157072896,I Was So Close To Becoming Depressed Again But I Know That’s What The Devil Want! ✌🏽 Bih You Gone Have To Come Harder Than That.
1496672388532129792,I really am such a Hopeless Romantic at heart
1496672386430554114,"I not . .A truly happy person To be happy is to be a little bit sad for it is t

https://t.co/Ex4MEQrcdD
https://t.co/1LGfmKXJl2 https://t.co/MDmpXrkCSH"
1496672386233651202,@NarsoMarie Stop catfishing you sad ass child
1496672384056766464,"Only two seasons??? 

Sad, but I’m satisfied with the ending if that is indeed the case."
